Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_AvailableNot Available""), ""Available"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:55,2022-05-21 07:46:56,0.715s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_AvailableNot Available_1""), ""Not Available"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:56,2022-05-21 07:46:57,0.749s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_LuxuriousWell KnownModerateUnbranded""), ""Unbranded"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:57,2022-05-21 07:46:58,0.763s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/button_Add to Stock""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:58,2022-05-21 07:46:58,0.299s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/p_Total Points  1392""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:58,2022-05-21 07:46:58,0.495s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/span_""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:58,2022-05-21 07:46:59,0.299s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_Ladies Skirts""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:59,2022-05-21 07:47:00,0.798s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_540""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:00,2022-05-21 07:47:00,0.278s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_Mens Denims""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:00,2022-05-21 07:47:08,8.146s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_288""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:08,2022-05-21 07:47:08,0.280s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_Frocks""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:08,2022-05-21 07:47:09,0.281s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_432""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:09,2022-05-21 07:47:09,0.285s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_Footware""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:09,2022-05-21 07:47:09,0.283s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/td_132""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:09,2022-05-21 07:47:09,0.281s,PASSED
,,,,,,,
Test Cases/Admin/Search stock items,Chrome 101.0.4951.67,,,2022-05-21 07:47:09,2022-05-21 07:47:21,11.836s,PASSED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:10,2022-05-21 07:47:10,0.296s,PASSED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/i_New_right fas fa-angle-left_1""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:10,2022-05-21 07:47:10,0.496s,PASSED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/a_Manage Stock""))",Chrome 101.0.4951.67,,,2022-05-21 07:47:10,2022-05-21 07:47:11,1.052s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/label_Search""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:47:11,2022-05-21 07:47:19,8.027s,PASSED
"setText(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/input_Search_form-control form-control-sm""), ""XL"")",Chrome 101.0.4951.67,,,2022-05-21 07:47:19,2022-05-21 07:47:20,0.545s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/div_Showing 1 to 5 of 5 entries (filtered f_9f68b9_1""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:47:20,2022-05-21 07:47:20,0.470s,PASSED
"setText(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/input_Search_form-control form-control-sm""), """")",Chrome 101.0.4951.67,,,2022-05-21 07:47:20,2022-05-21 07:47:21,0.498s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/div_Showing 1 to 11 of 11 entries""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:47:21,2022-05-21 07:47:21,0.262s,PASSED
